sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;command;
1589347312;198979;1589347312;198994;1589347312;198979;0;
1589347312;205435;1589347312;205450;1589347312;205435;0;
1589347312;212681;1589347312;212696;1589347312;212681;0;
1589347312;219552;1589347312;219567;1589347312;219552;0;
1589347312;226590;1589347312;226605;1589347312;226590;0;
1589347312;232711;1589347312;232727;1589347312;232711;0;
1589347312;239006;1589347312;239023;1589347312;239006;5;
1589347312;245647;1589347312;245663;1589347312;245647;0;
1589347312;252693;1589347312;252708;1589347312;252693;0;
1589347312;259221;1589347312;259236;1589347312;259221;0;
1589347312;265417;1589347312;265433;1589347312;265417;4;
1589347312;272479;1589347312;272496;1589347312;272479;0;
1589347312;279561;1589347312;279576;1589347312;279561;0;
1589347312;285893;1589347312;285909;1589347312;285893;0;
1589347312;292218;1589347312;292235;1589347312;292218;4;
1589347312;298784;1589347312;298800;1589347312;298784;0;
1589347312;305403;1589347312;305419;1589347312;305403;0;
1589347312;311993;1589347312;312024;1589347312;311993;0;
1589347312;318080;1589347312;318096;1589347312;318080;4;
1589347312;324965;1589347312;324982;1589347312;324965;0;
1589347312;331524;1589347312;331540;1589347312;331524;0;
1589347312;337626;1589347312;337643;1589347312;337626;0;
1589347312;344461;1589347312;344480;1589347312;344461;4;
1589347312;351059;1589347312;351089;1589347312;351059;0;
1589347312;357125;1589347312;357141;1589347312;357125;0;
1589347312;364184;1589347312;364200;1589347312;364184;0;
1589347312;370828;1589347312;370844;1589347312;370828;4;
1589347312;377409;1589347312;377425;1589347312;377409;0;
1589347312;383450;1589347312;383465;1589347312;383450;0;
1589347312;389682;1589347312;389711;1589347312;389682;0;
1589347312;396681;1589347312;396701;1589347312;396681;4;
1589347312;403012;1589347312;403027;1589347312;403012;0;
1589347312;409580;1589347312;409595;1589347312;409580;0;
1589347312;415707;1589347312;415722;1589347312;415707;0;
1589347312;422754;1589347312;422769;1589347312;422754;4;
1589347312;429351;1589347312;429367;1589347312;429351;0;
1589347312;436398;1589347312;436413;1589347312;436398;0;
1589347312;443107;1589347312;443123;1589347312;443107;0;
1589347312;450364;1589347312;450384;1589347312;450364;4;
1589347312;456704;1589347312;456720;1589347312;456704;0;
1589347312;463755;1589347312;463770;1589347312;463755;0;
1589347312;470358;1589347312;470373;1589347312;470358;0;
1589347312;476690;1589347312;476706;1589347312;476690;4;
1589347312;485032;1589347312;485047;1589347312;485032;0;
1589347312;491358;1589347312;491373;1589347312;491358;0;
1589347312;497702;1589347312;497716;1589347312;497702;0;
1589347312;503918;1589347312;503954;1589347312;503918;4;
1589347312;510860;1589347312;510875;1589347312;510860;0;
1589347312;517240;1589347312;517256;1589347312;517240;0;
1589347312;523544;1589347312;523558;1589347312;523544;0;
1589347312;530387;1589347312;530402;1589347312;530387;4;
1589347312;537281;1589347312;537296;1589347312;537281;0;
1589347312;543876;1589347312;543892;1589347312;543876;0;
1589347312;550415;1589347312;550433;1589347312;550415;0;
1589347312;556767;1589347312;556782;1589347312;556767;4;
1589347312;563119;1589347312;563135;1589347312;563119;0;
1589347312;569971;1589347312;569986;1589347312;569971;0;
1589347312;577032;1589347312;577047;1589347312;577032;0;
1589347312;583107;1589347312;583121;1589347312;583107;4;
1589347312;589482;1589347312;589497;1589347312;589482;0;
1589347312;596058;1589347312;596074;1589347312;596058;0;
1589347312;602513;1589347312;602530;1589347312;602513;0;
1589347312;609122;1589347312;609137;1589347312;609122;4;
1589347312;615250;1589347312;615269;1589347312;615250;0;
1589347312;623154;1589347312;623170;1589347312;623154;0;
1589347312;629986;1589347312;630003;1589347312;629986;0;
1589347312;635844;1589347312;635860;1589347312;635844;4;
1589347312;641709;1589347312;641725;1589347312;641709;0;
1589347312;647538;1589347312;647553;1589347312;647538;0;
1589347312;653468;1589347312;653484;1589347312;653468;0;
1589347312;659254;1589347312;659269;1589347312;659254;4;
1589347312;665126;1589347312;665141;1589347312;665126;0;
1589347312;671017;1589347312;671034;1589347312;671017;0;
1589347312;676822;1589347312;676838;1589347312;676822;0;
1589347312;682685;1589347312;682700;1589347312;682685;4;
1589347312;688518;1589347312;688535;1589347312;688518;0;
1589347312;694432;1589347312;694448;1589347312;694432;0;
1589347312;700259;1589347312;700274;1589347312;700259;0;
1589347312;706157;1589347312;706172;1589347312;706157;4;
1589347312;711986;1589347312;712001;1589347312;711986;0;
1589347312;717837;1589347312;717853;1589347312;717837;0;
1589347312;723684;1589347312;723700;1589347312;723684;0;
1589347312;729602;1589347312;729618;1589347312;729602;4;
1589347312;735483;1589347312;735499;1589347312;735483;0;
1589347312;741789;1589347312;741804;1589347312;741789;0;
1589347312;747728;1589347312;747744;1589347312;747728;0;
1589347312;753939;1589347312;753955;1589347312;753939;4;
1589347312;759778;1589347312;759793;1589347312;759778;0;
1589347312;765656;1589347312;765673;1589347312;765656;0;
