sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;time;grassMax;grassMean;
1589347312;498071;1589347312;498083;1589347312;498071;181;1;0.979045;
1589347312;504429;1589347312;504442;1589347312;504429;182;1;0.979046;
1589347312;511281;1589347312;511293;1589347312;511281;183;1;0.9789833;
1589347312;517653;1589347312;517666;1589347312;517653;184;1;0.9784111;
1589347312;523965;1589347312;523977;1589347312;523965;185;1;0.9784122;
1589347312;530638;1589347312;530650;1589347312;530638;186;1;0.9784133;
1589347312;537723;1589347312;537736;1589347312;537723;187;1;0.9783506;
1589347312;544225;1589347312;544238;1589347312;544225;188;1;0.9777784;
1589347312;550837;1589347312;550850;1589347312;550837;189;1;0.9777794;
1589347312;557217;1589347312;557230;1589347312;557217;190;1;0.9777806;
1589347312;563530;1589347312;563542;1589347312;563530;191;1;0.9777181;
1589347312;570390;1589347312;570403;1589347312;570390;192;1;0.9771459;
1589347312;577307;1589347312;577320;1589347312;577307;193;1;0.977147;
1589347312;583492;1589347312;583505;1589347312;583492;194;1;0.9771481;
1589347312;589859;1589347312;589871;1589347312;589859;195;1;0.9770855;
1589347312;596312;1589347312;596325;1589347312;596312;196;1;0.9765134;
1589347312;602817;1589347312;602830;1589347312;602817;197;1;0.9765147;
1589347312;609399;1589347312;609412;1589347312;609399;198;1;0.9765158;
1589347312;615470;1589347312;615487;1589347312;615470;199;1;0.9764532;
1589347312;623340;1589347312;623353;1589347312;623340;200;1;0.9758812;
1589347312;630121;1589347312;630134;1589347312;630121;201;1;0.9758824;
1589347312;635966;1589347312;635979;1589347312;635966;202;1;0.9758835;
1589347312;641831;1589347312;641843;1589347312;641831;203;1;0.9758211;
1589347312;647656;1589347312;647669;1589347312;647656;204;1;0.9752491;
1589347312;653593;1589347312;653605;1589347312;653593;205;1;0.9752502;
1589347312;659374;1589347312;659387;1589347312;659374;206;1;0.9752514;
1589347312;665245;1589347312;665257;1589347312;665245;207;1;0.9751889;
1589347312;671146;1589347312;671159;1589347312;671146;208;1;0.974617;
1589347312;676951;1589347312;676964;1589347312;676951;209;1;0.9746183;
1589347312;682804;1589347312;682817;1589347312;682804;210;1;0.9746195;
1589347312;688641;1589347312;688654;1589347312;688641;211;1;0.9745571;
1589347312;694562;1589347312;694574;1589347312;694562;212;1;0.973985;
1589347312;700380;1589347312;700392;1589347312;700380;213;1;0.9739863;
1589347312;706278;1589347312;706290;1589347312;706278;214;1;0.9739877;
1589347312;712107;1589347312;712120;1589347312;712107;215;1;0.9739253;
1589347312;717959;1589347312;717971;1589347312;717959;216;1;0.9733533;
1589347312;723805;1589347312;723817;1589347312;723805;217;1;0.9733545;
1589347312;729731;1589347312;729743;1589347312;729731;218;1;0.9733559;
1589347312;735612;1589347312;735625;1589347312;735612;219;1;0.9732936;
1589347312;741922;1589347312;741935;1589347312;741922;220;1;0.9727216;
1589347312;747870;1589347312;747882;1589347312;747870;221;1;0.9727229;
1589347312;754062;1589347312;754074;1589347312;754062;222;1;0.9727244;
1589347312;759898;1589347312;759910;1589347312;759898;223;1;0.9726619;
1589347312;765778;1589347312;765791;1589347312;765778;224;1;0.9720901;
1589347312;771656;1589347312;771668;1589347312;771656;225;1;0.9720914;
1589347312;777465;1589347312;777477;1589347312;777465;226;1;0.9720929;
1589347312;783632;1589347312;783644;1589347312;783632;227;1;0.9720305;
